,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
161,avergonzada,0.0,0.0,0.0,0.0,1.0
162,avergonzadas,0.0,0.0,0.0,0.0,1.0
163,avergonzado,0.0,0.0,0.0,0.0,1.0
164,avergonzados,0.0,0.0,0.0,0.0,1.0
165,bailar,0.0,0.0,0.0,0.0,0.0
166,bailes,0.0,0.0,0.0,0.0,0.0
167,bastarda,1.0,0.0,0.0,0.0,0.0
168,bastardas,1.0,0.0,0.0,0.0,0.0
169,baile,0.0,0.0,0.0,0.0,0.0
170,bastardos,1.0,0.0,0.0,0.0,0.0
171,bastardo,1.0,0.0,0.0,0.0,0.0
172,batallas,0.0,0.0,0.0,0.0,0.0
173,bebés,0.0,0.0,0.0,0.0,0.0
174,bendecir,0.0,0.0,0.0,0.0,1.0
175,batalla,0.0,0.0,0.0,0.0,0.0
176,batería,0.0,0.0,0.0,0.0,0.0
177,bendita,0.0,0.0,0.0,0.0,1.0
178,bebé,0.0,0.0,0.0,0.0,0.0
179,bendito,0.0,0.0,0.0,0.0,1.0
180,bendición,0.0,0.0,0.0,0.0,0.0
181,berrinche,1.0,0.0,0.0,0.0,1.0
182,besos,0.0,0.0,0.0,1.0,0.0
183,bienestar,0.0,0.0,0.0,0.0,0.0
184,beso,0.0,0.0,0.0,1.0,0.0
185,bilis,0.0,0.0,0.0,0.0,0.0
186,bloqueo,0.0,0.0,0.0,0.0,0.0
187,bondad,0.0,0.0,0.0,0.0,1.0
188,brillar,0.0,0.0,0.0,0.0,0.0
189,bruta,1.0,0.0,0.0,0.0,1.0
190,buena,0.0,0.0,0.0,0.0,1.0
191,brutal,1.0,0.0,0.0,0.0,1.0
192,brutalidad,1.0,0.0,0.0,0.0,1.0
193,bruto,1.0,0.0,0.0,0.0,1.0
194,bulimia,0.0,0.0,0.0,0.0,0.0
195,bulliciosa,0.0,0.0,0.0,0.0,0.0
196,bueno,0.0,0.0,0.0,0.0,1.0
197,bulliciosas,0.0,0.0,0.0,0.0,0.0
198,bulliciosos,0.0,0.0,0.0,0.0,0.0
199,cagado,1.0,0.0,0.0,0.0,0.0
200,bullicioso,0.0,0.0,0.0,0.0,0.0
201,caída,0.0,0.0,0.0,0.0,0.0
202,caliente,0.0,0.0,0.0,0.0,0.0
203,cállate,0.0,0.0,0.0,0.0,0.0
204,calma,0.0,0.0,0.0,1.0,0.0
205,calor,0.0,0.0,0.0,0.0,0.0
206,campeona,0.0,0.0,0.0,0.0,0.0
207,campeonas,0.0,0.0,0.0,0.0,0.0
208,campeones,0.0,0.0,0.0,0.0,0.0
209,canta,0.0,0.0,0.0,0.0,0.0
210,canto,0.0,0.0,0.0,0.0,0.0
211,campeón,0.0,0.0,0.0,0.0,0.0
212,cáncer,0.0,0.0,0.0,0.0,0.0
213,caprichosa,0.0,0.0,0.0,0.0,1.0
214,caprichosas,0.0,0.0,0.0,0.0,1.0
215,caprichosos,0.0,0.0,0.0,0.0,1.0
216,caricia,0.0,0.0,0.0,0.0,0.0
217,caprichoso,0.0,0.0,0.0,0.0,1.0
218,carreras,0.0,0.0,0.0,0.0,0.0
219,carnicería,0.0,0.0,0.0,0.0,0.0
220,casa,0.0,0.0,0.0,0.0,0.0
221,casas,0.0,0.0,0.0,0.0,0.0
222,castigos,1.0,0.0,0.0,0.0,1.0
223,castigado,1.0,0.0,0.0,0.0,1.0
224,castigar,1.0,0.0,0.0,0.0,1.0
225,castigo,1.0,0.0,0.0,0.0,1.0
226,cautivar,0.0,0.0,0.0,0.0,0.0
227,caza,0.0,0.0,0.0,0.0,0.0
228,ceguera,0.0,0.0,0.0,0.0,0.0
229,celebracion,0.0,0.0,0.0,0.0,0.0
230,celos,1.0,0.0,0.0,0.0,1.0
231,cementerio,0.0,0.0,0.0,0.0,0.0
232,chica,0.0,0.0,0.0,0.0,0.0
233,cercanía,0.0,0.0,0.0,0.0,0.0
234,chico,0.0,0.0,0.0,0.0,0.0
235,ciclón,0.0,0.0,0.0,0.0,0.0
236,cobarde,0.0,0.0,0.0,0.0,0.0
237,cobra,0.0,0.0,0.0,0.0,0.0
238,colgar,0.0,0.0,0.0,0.0,0.0
239,cólera,1.0,0.0,0.0,0.0,0.0
240,coma,0.0,0.0,0.0,0.0,0.0
241,completar,0.0,0.0,0.0,0.0,0.0
242,comodidad,0.0,0.0,0.0,1.0,0.0
243,condenado,0.0,0.0,0.0,0.0,1.0
244,confianza,0.0,0.0,0.0,1.0,0.0
245,confortable,0.0,0.0,0.0,1.0,0.0
246,conflicto,0.0,0.0,0.0,0.0,1.0
247,confrontar,1.0,0.0,0.0,1.0,1.0
248,consolador,0.0,0.0,0.0,1.0,0.0
249,contagios,0.0,0.0,0.0,0.0,0.0
250,contaminada,0.0,0.0,0.0,0.0,0.0
251,contenta,0.0,0.0,0.0,1.0,0.0
252,contagio,0.0,0.0,0.0,0.0,0.0
253,contagioso,0.0,0.0,0.0,0.0,0.0
254,contentas,0.0,0.0,0.0,1.0,0.0
255,contaminado,0.0,0.0,0.0,0.0,0.0
256,contentos,0.0,0.0,0.0,1.0,0.0
257,coño,1.0,0.0,0.0,1.0,1.0
258,copas,0.0,0.0,0.0,0.0,0.0
259,contento,0.0,0.0,0.0,1.0,0.0
260,corazón,0.0,0.0,0.0,0.0,0.0
261,corazones,0.0,0.0,0.0,0.0,0.0
262,coronación,0.0,0.0,0.0,0.0,0.0
263,cremación,0.0,0.0,0.0,0.0,0.0
264,crimen,0.0,0.0,0.0,0.0,0.0
265,criptas,0.0,0.0,0.0,0.0,0.0
266,cristo,0.0,0.0,0.0,0.0,0.0
267,crucero,0.0,0.0,0.0,0.0,0.0
268,cripta,0.0,0.0,0.0,0.0,0.0
269,cruceros,0.0,0.0,0.0,0.0,0.0
270,crónico,0.0,0.0,0.0,0.0,0.0
271,cruzar,0.0,0.0,0.0,0.0,0.0
272,crueldad,1.0,0.0,0.0,0.0,1.0
